%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.Longtitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1580400125303112598,1,1580400125302284955,,42.429165,-71.075095,22.5,329301.737828,4699513.69587,19,T
1580400126807337090,2,1580400126807142019,,42.429165,-71.075095,22.5,329301.737828,4699513.69587,19,T
1580400129819773060,3,1580400129819025039,,42.429165,-71.075095,22.5,329301.737828,4699513.69587,19,T
1580400131326197197,4,1580400131325381994,,42.429165,-71.075095,22.5,329301.737828,4699513.69587,19,T
1580400132832905061,5,1580400132832087039,,42.429165,-71.075095,22.5,329301.737828,4699513.69587,19,T
1580400134338947256,6,1580400134338174104,,42.429165,-71.075095,22.5,329301.737828,4699513.69587,19,T
1580400135845497823,7,1580400135844651937,,42.429165,-71.075095,22.5,329301.737828,4699513.69587,19,T
1580400138857223803,8,1580400138856493949,,42.429165,-71.075095,22.5,329301.737828,4699513.69587,19,T
1580400140363688577,9,1580400140362876892,,42.429165,-71.075095,22.5,329301.737828,4699513.69587,19,T
1580400141870149091,10,1580400141869335889,,42.429165,-71.0751033333,22.8,329301.052297,4699513.71263,19,T
1580400143376638765,11,1580400143375921010,,42.429165,-71.07512,22.9,329299.681235,4699513.74615,19,T
1580400144883115527,12,1580400144882405996,,42.429165,-71.0751383333,23.0,329298.173066,4699513.78302,19,T
1580400147894331021,13,1580400147893692016,,42.429165,-71.0751566667,23.1,329296.664898,4699513.81989,19,T
1580400149400836525,14,1580400149400206089,,42.429165,-71.075175,23.2,329295.156729,4699513.85675,19,T
1580400150907680409,15,1580400150906892061,,42.4291616667,-71.0751933333,23.3,329293.639512,4699513.52348,19,T
1580400152413894044,16,1580400152413117885,,42.4291633333,-71.0752116667,23.5,329292.135868,4699513.74542,19,T
1580400153920463078,17,1580400153919595003,,42.4291616667,-71.07523,23.7,329290.623175,4699513.59722,19,T
1580400156932213245,18,1580400156931531906,,42.4291583333,-71.07525,23.7,329288.968851,4699513.2673,19,T
1580400158438844881,19,1580400158438198089,,42.4291583333,-71.0752716667,23.7,329287.186469,4699513.31087,19,T
1580400159945251016,20,1580400159944622039,,42.4291583333,-71.0752933333,23.6,329285.404088,4699513.35445,19,T
1580400161452552680,21,1580400161451668024,,42.42916,-71.075315,23.7,329283.626232,4699513.5831,19,T
1580400162960027128,22,1580400162959203004,,42.42916,-71.0753366667,23.8,329281.843851,4699513.62667,19,T
1580400165973807681,23,1580400165973174095,,42.42916,-71.07536,24.1,329279.924363,4699513.6736,19,T
1580400167481787138,24,1580400167481072902,,42.4291583333,-71.0753816667,24.1,329278.137457,4699513.53211,19,T
1580400168989355630,25,1580400168988580942,,42.429155,-71.0754016667,24.3,329276.483132,4699513.20219,19,T
1580400170498171658,26,1580400170497471094,,42.4291533333,-71.0754216667,24.7,329274.833332,4699513.05734,19,T
1580400172006679970,27,1580400172005959987,,42.42915,-71.07544,24.7,329273.316113,4699512.72407,19,T
1580400175023585132,28,1580400175022924900,,42.42914,-71.0754633333,24.4,329271.369475,4699511.66056,19,T
1580400176529494009,29,1580400176528902053,,42.4291333333,-71.075485,24.1,329269.568993,4699510.96385,19,T
1580400178034971711,30,1580400178034754991,,42.42913,-71.0755016667,23.7,329268.18888,4699510.62722,19,T
1580400179542695662,31,1580400179542017936,,42.42913,-71.0755183333,23.2,329266.817817,4699510.66075,19,T
1580400181050089985,32,1580400181049503087,,42.4291283333,-71.0755333333,22.9,329265.579335,4699510.50584,19,T
1580400184062865356,33,1580400184062176942,,42.42913,-71.07555,22.8,329264.212797,4699510.72444,19,T
1580400185570248306,34,1580400185569519996,,42.4291283333,-71.0755716667,22.9,329262.42589,4699510.58295,19,T
1580400187075514289,35,1580400187075124025,,42.4291283333,-71.0755866667,22.9,329261.191933,4699510.61312,19,T
1580400188582886273,36,1580400188582170009,,42.4291266667,-71.075605,22.8,329259.679238,4699510.46493,19,T
1580400190090381236,37,1580400190089721918,,42.429125,-71.075625,22.4,329258.029437,4699510.32008,19,T
1580400193103874295,38,1580400193103087902,,42.4291233333,-71.0756483333,22.6,329256.105423,4699510.18195,19,T
1580400194610888282,39,1580400194610248088,,42.4291216667,-71.0756683333,22.9,329254.455621,4699510.0371,19,T
1580400196118118724,40,1580400196117436885,,42.4291233333,-71.0756866667,23.1,329252.951977,4699510.25906,19,T
1580400197625095986,41,1580400197624349117,,42.4291216667,-71.0757083333,23.0,329251.165069,4699510.11757,19,T
1580400199132268908,42,1580400199131498098,,42.4291183333,-71.0757283333,22.6,329249.510742,4699509.78765,19,T
1580400202142588013,43,1580400202141968965,,42.42911,-71.0757483333,22.3,329247.842838,4699508.90252,19,T
1580400203649800171,44,1580400203649044036,,42.4291066667,-71.0757683333,22.0,329246.18851,4699508.57261,19,T
1580400205156165664,45,1580400205155563116,,42.429105,-71.07579,22.1,329244.401602,4699508.43112,19,T
1580400206663561615,46,1580400206662899971,,42.4291016667,-71.0758116667,22.3,329242.610167,4699508.10456,19,T
1580400208170401893,47,1580400208169707059,,42.4291,-71.0758333333,22.2,329240.823259,4699507.96307,19,T
1580400211183860001,48,1580400211183132886,,42.4290983333,-71.0758566667,22.1,329238.899243,4699507.82494,19,T
1580400212690402411,49,1580400212689740896,,42.4290966667,-71.07588,21.9,329236.975228,4699507.68681,19,T
1580400214196710086,50,1580400214196204900,,42.429095,-71.0759,21.8,329235.325425,4699507.54197,19,T
1580400215704770067,51,1580400215703633069,,42.4290933333,-71.0759216667,21.6,329233.538516,4699507.40049,19,T
1580400217211923449,52,1580400217211173057,,42.42909,-71.0759416667,21.5,329231.884187,4699507.07058,19,T
1580400220226132641,53,1580400220225438117,,42.4290883333,-71.0759633333,21.2,329230.097278,4699506.92909,19,T
1580400221733870724,54,1580400221733042001,,42.4290866667,-71.0759833333,21.0,329228.447475,4699506.78426,19,T
1580400223241334111,55,1580400223240664958,,42.429085,-71.076005,20.8,329226.660565,4699506.64277,19,T
