%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581017570982455610,30,0,,0.1844,-0.091,0.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017571007629984,31,0,,0.1845,-0.0808,0.3576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017571032711044,32,0,,0.1781,-0.0852,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017571057720175,33,0,,0.1823,-0.0886,0.3688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017571082498303,34,0,,0.1813,-0.0807,0.3636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017571107540228,35,0,,0.1845,-0.0876,0.3602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017571133258363,36,0,,0.1834,-0.0842,0.3613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017571158199908,37,0,,0.1824,-0.0818,0.3649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017571183455493,38,0,,0.1835,-0.0818,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017571207400279,39,0,,0.1823,-0.0933,0.3614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017571233541922,40,0,,0.1833,-0.0922,0.3602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
